성별,나이,월수입,직업,결혼여부,소비성향,예산,구매단가,사용목적,중요요소,선호브랜드,상품명,브랜드,카테고리,판매단가,평점,리뷰수,상품설명,상품정보출처,상품조회수,비교상품수,구매시간대,재방문횟수,카드할부여부,구매후회값
female,48,3760000,프리랜서,기혼,진보적,632000,88000,인테리어,"내구성, 크기",소니,한샘 가구 11,한샘,가구,88000,3.23,,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",naver_api,8,4,15,2,N,0.391
female,37,2340000,주부,기혼,진보적,171000,28000,생활,"가격, 신선도",동원,동원 식품 12,동원,식품,28000,4.56,,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",image_estimate,5,4,12,3,N,0.204
male,20,630000,학생,미혼,보수적,84000,696000,유행,"브랜드, 희소성",애플,루이비통 명품 13,루이비통,명품,696000,,,"루이비통 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",image_estimate,16,13,2,11,Y,0.866
male,53,5600000,사무직,기혼,보수적,914000,277000,선물,"희소성, 감성",리바트,라네즈 화장품 14,라네즈,화장품,277000,4.76,3609.0,"라네즈 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",image_estimate,45,0,17,2,N,0.499
male,49,9200000,대기업직원,미혼,보수적,785000,12000,선물,"희소성, 감성",COS,유한킴벌리 생활용품 15,유한킴벌리,생활용품,12000,4.49,2841.0,"유한킴벌리 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",crawler,41,1,3,4,N,0.654
female,40,6580000,대기업직원,기혼,보수적,1200000,90000,취업,"강의품질, 가격",메가스터디,메가스터디 교육 16,메가스터디,교육,90000,4.7,2208.0,"메가스터디 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",manual,50,1,10,3,N,0.194
male,48,9080000,대기업직원,미혼,보수적,1882000,1654000,가족,"가격, 일정",마이리얼트립,마이리얼트립 여행 17,마이리얼트립,여행,1654000,,708.0,"마이리얼트립 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",manual,33,6,12,3,Y,0.232
female,60,8490000,전문직,미혼,진보적,1186000,1745000,유행,"희소성, 감성",정관장,정관장 건강관리 18,정관장,건강관리,1745000,3.41,3638.0,"정관장 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",image_estimate,51,7,18,3,Y,0.665
male,26,3890000,프리랜서,미혼,진보적,204000,121000,청소,"희소성, 감성",3M,3M 생활용품 19,3M,생활용품,121000,,,"3M 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",naver_api,2,6,14,4,N,0.365
female,37,10300000,전문직,미혼,진보적,2033000,32000,휴식,"희소성, 감성",유한킴벌리,유한킴벌리 생활용품 20,유한킴벌리,생활용품,32000,3.27,2429.0,"유한킴벌리 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",manual,44,5,11,2,N,0.53
female,60,3680000,은퇴자,미혼,보수적,797000,789000,기념일,"가격, 일정",마이리얼트립,대한항공 여행 21,대한항공,여행,789000,,3006.0,"대한항공 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",manual,48,3,14,4,Y,0.563
female,42,6430000,자영업,미혼,보수적,741000,183000,부모님,"희소성, 감성",센트룸,센트룸 건강관리 22,센트룸,건강관리,183000,4.08,3271.0,"센트룸 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",crawler,41,3,3,2,N,0.349
male,42,4070000,프리랜서,미혼,보수적,696000,30000,식사,"가격, 신선도",CJ,CJ 식품 23,CJ,식품,30000,4.25,3943.0,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,56,5,21,2,N,0.199
male,37,6040000,공무원,기혼,진보적,243000,1978000,휴식,"성능, 배터리",소니,소니 전자기기 24,소니,전자기기,1978000,,,"소니 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",naver_api,10,7,20,6,Y,0.655
female,37,8350000,대기업직원,미혼,보수적,867000,2800000,콘텐츠,"성능, 배터리",애플,애플 전자기기 25,애플,전자기기,2800000,,2875.0,"애플 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",user_input,52,5,9,4,Y,0.676
female,32,7580000,대기업직원,기혼,진보적,537000,34000,식사,"희소성, 감성",오뚜기,오뚜기 식품 26,오뚜기,식품,34000,3.42,2535.0,"오뚜기 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",image_estimate,53,3,22,1,N,0.335
male,56,2640000,주부,기혼,보수적,576000,401000,부모님,"희소성, 감성",오뚜기,종근당 건강관리 27,종근당,건강관리,401000,,2567.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",crawler,51,3,12,2,N,0.436
female,30,3330000,사무직,기혼,진보적,160000,3422000,선물,"희소성, 감성",애플,애플 전자기기 28,애플,전자기기,3422000,3.92,3349.0,"애플 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",crawler,48,16,16,8,Y,0.835
male,67,3660000,은퇴자,기혼,보수적,784000,1276000,생활,"희소성, 감성",오뚜기,한샘 가구 29,한샘,가구,1276000,4.35,,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",manual,13,8,14,6,Y,0.786
male,44,8210000,전문직,기혼,진보적,1447000,19000,휴식,"희소성, 감성",아디다스,설화수 화장품 30,설화수,화장품,19000,4.4,98.0,"설화수 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",image_estimate,35,5,17,1,N,0.65
female,50,10650000,전문직,기혼,보수적,1524000,1093000,업무,"성능, 배터리",LG,LG 전자기기 31,LG,전자기기,1093000,,2388.0,"LG 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",crawler,53,2,18,1,Y,0.231
male,56,2190000,주부,기혼,진보적,222000,5000,소장,"희소성, 감성",동원,동원 식품 32,동원,식품,5000,,,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",manual,4,5,14,1,N,0.553
male,33,1090000,취업준비생,기혼,진보적,142000,11000,생활,"가격, 내구성",3M,3M 생활용품 33,3M,생활용품,11000,3.31,,"3M 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",user_input,3,1,19,0,N,0.261
female,31,5670000,대기업직원,기혼,보수적,315000,1574000,보상,"브랜드, 희소성",샤넬,샤넬 명품 34,샤넬,명품,1574000,4.59,723.0,"샤넬 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",naver_api,46,9,16,2,Y,0.534
male,29,8290000,전문직,미혼,진보적,308000,906000,가족,"희소성, 감성",루이비통,마이리얼트립 여행 35,마이리얼트립,여행,906000,3.24,,"마이리얼트립 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",naver_api,5,7,17,3,Y,0.74
male,45,5340000,자영업,기혼,진보적,857000,73000,소장,"가격, 내구성",리바트,유한킴벌리 생활용품 36,유한킴벌리,생활용품,73000,4.16,998.0,"유한킴벌리 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",user_input,36,1,17,2,N,0.54
female,65,2820000,은퇴자,기혼,보수적,241000,414000,데이트,"희소성, 감성",COS,COS 패션 37,COS,패션,414000,,,"COS 패션 상품. 주요 특징: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",image_estimate,4,6,18,1,N,0.574
female,22,960000,취업준비생,미혼,진보적,170000,6000,휴식,"희소성, 감성",샤넬,동원 식품 38,동원,식품,6000,3.27,3179.0,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",manual,46,3,14,0,N,0.631
male,25,730000,학생,미혼,보수적,75000,534000,기념일,"가격, 일정",이케아,대한항공 여행 39,대한항공,여행,534000,4.67,829.0,"대한항공 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",naver_api,42,13,12,8,Y,0.709
female,55,7920000,대기업직원,기혼,진보적,1519000,795000,취업,"희소성, 감성",삼성,메가스터디 교육 40,메가스터디,교육,795000,3.26,3230.0,"메가스터디 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",crawler,49,4,9,4,Y,0.438
female,31,3060000,사무직,기혼,보수적,569000,232000,휴식,"내구성, 크기",종근당,리바트 가구 41,리바트,가구,232000,3.61,1662.0,"리바트 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",naver_api,53,1,21,3,N,0.546
male,26,1090000,취업준비생,미혼,보수적,130000,401000,유행,"브랜드, 희소성",라네즈,구찌 명품 42,구찌,명품,401000,3.36,577.0,"구찌 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",image_estimate,46,7,15,7,Y,0.775
female,25,3420000,공무원,기혼,진보적,240000,15000,휴식,"성분, 가격",설화수,설화수 화장품 43,설화수,화장품,15000,,2374.0,"설화수 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",naver_api,40,4,2,1,N,0.454
male,29,1250000,취업준비생,미혼,보수적,185000,339000,여행,"디자인, 착용감",프라다,나이키 패션 44,나이키,패션,339000,4.72,2021.0,"나이키 패션 상품. 주요 특징: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",manual,43,5,11,2,Y,0.695
female,28,10070000,전문직,미혼,진보적,1153000,2601000,소장,"희소성, 감성",나이키,루이비통 명품 45,루이비통,명품,2601000,4.48,,"루이비통 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",user_input,5,3,2,3,Y,0.864
male,50,4350000,사무직,기혼,보수적,146000,240000,유행,"희소성, 감성",마이리얼트립,마이리얼트립 여행 46,마이리얼트립,여행,240000,3.93,3487.0,"마이리얼트립 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",naver_api,53,6,19,2,N,0.761
male,35,4310000,사무직,기혼,보수적,680000,3788000,선물,"희소성, 감성",프라다,프라다 명품 47,프라다,명품,3788000,3.34,,"프라다 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",manual,12,12,14,7,Y,0.559
male,23,760000,학생,미혼,진보적,40000,7000,선물,"희소성, 감성",오뚜기,다이소 생활용품 48,다이소,생활용품,7000,3.24,1839.0,"다이소 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",crawler,49,5,9,3,N,0.625
female,32,1070000,취업준비생,미혼,진보적,132000,110000,휴식,"희소성, 감성",애플,애플 전자기기 49,애플,전자기기,110000,3.66,876.0,"애플 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",naver_api,41,1,16,2,N,0.561
female,55,4030000,프리랜서,기혼,진보적,597000,4000,식사,"희소성, 감성",오뚜기,오뚜기 식품 50,오뚜기,식품,4000,3.87,1498.0,"오뚜기 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,47,2,10,0,N,0.341
female,49,5350000,공무원,기혼,진보적,898000,457000,휴식,"브랜드, 희소성",루이비통,루이비통 명품 51,루이비통,명품,457000,3.68,2046.0,"루이비통 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",manual,46,4,19,1,N,0.523
female,22,1070000,취업준비생,미혼,진보적,125000,354000,휴식,"가격, 일정",패스트캠퍼스,마이리얼트립 여행 52,마이리얼트립,여행,354000,4.13,698.0,"마이리얼트립 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",naver_api,36,5,19,5,Y,0.554
female,67,2930000,은퇴자,기혼,진보적,489000,45000,건강,"성분, 후기",ZARA,종근당 건강관리 53,종근당,건강관리,45000,3.32,851.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",manual,35,1,10,1,N,0.337
female,60,3010000,은퇴자,기혼,진보적,269000,131000,콘텐츠,"성능, 배터리",구찌,소니 전자기기 54,소니,전자기기,131000,4.55,,"소니 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",crawler,6,6,17,2,N,0.515
male,54,6840000,대기업직원,미혼,진보적,214000,3000,생활,"희소성, 감성",대한항공,오뚜기 식품 55,오뚜기,식품,3000,3.94,,"오뚜기 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",image_estimate,10,5,18,3,N,0.453
male,46,3840000,프리랜서,기혼,진보적,346000,2061000,유행,"내구성, 크기",오뚜기,이케아 가구 56,이케아,가구,2061000,3.55,2820.0,"이케아 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",naver_api,47,8,13,4,Y,0.796
female,55,6090000,대기업직원,기혼,진보적,704000,460000,자기계발,"희소성, 감성",유한킴벌리,패스트캠퍼스 교육 57,패스트캠퍼스,교육,460000,,2218.0,"패스트캠퍼스 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",image_estimate,51,4,22,1,N,0.628
male,48,4190000,자영업,기혼,보수적,298000,4000,생활,"가격, 신선도",CJ,CJ 식품 58,CJ,식품,4000,,3657.0,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,46,4,17,1,N,0.223
female,25,5610000,공무원,미혼,진보적,1108000,256000,생활,"내구성, 크기",나이키,한샘 가구 59,한샘,가구,256000,3.69,1566.0,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",image_estimate,53,5,13,2,N,0.561
male,40,5750000,프리랜서,기혼,진보적,666000,165000,취업,"희소성, 감성",메가스터디,메가스터디 교육 60,메가스터디,교육,165000,3.43,3133.0,"메가스터디 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",user_input,53,5,11,3,N,0.348
male,55,5650000,사무직,기혼,진보적,558000,54000,식사,"가격, 신선도",오뚜기,CJ 식품 61,CJ,식품,54000,3.5,,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",naver_api,9,0,16,0,N,0.302
female,40,3740000,프리랜서,기혼,진보적,244000,5797000,콘텐츠,"희소성, 감성",라네즈,소니 전자기기 62,소니,전자기기,5797000,,163.0,"소니 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",manual,30,19,13,13,Y,0.916
female,74,2310000,은퇴자,기혼,보수적,230000,328000,선물,"성분, 후기",정관장,정관장 건강관리 63,정관장,건강관리,328000,,1505.0,"정관장 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",crawler,45,6,21,6,N,0.595
female,63,4170000,자영업,기혼,보수적,661000,768000,휴식,"희소성, 감성",하나투어,하나투어 여행 64,하나투어,여행,768000,,1750.0,"하나투어 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",manual,39,6,17,5,Y,0.448
male,48,5740000,프리랜서,미혼,진보적,650000,192000,유행,"강의품질, 가격",설화수,클래스101 교육 65,클래스101,교육,192000,4.89,1290.0,"클래스101 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",naver_api,46,2,16,1,N,0.505
male,22,1280000,취업준비생,미혼,보수적,171000,3203000,유행,"희소성, 감성",리바트,리바트 가구 66,리바트,가구,3203000,4.82,,"리바트 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",image_estimate,11,33,15,22,Y,0.81
male,70,2100000,은퇴자,기혼,보수적,252000,1794000,회복,"성분, 후기",종근당,종근당 건강관리 67,종근당,건강관리,1794000,4.3,538.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",user_input,38,12,16,9,Y,0.67
male,72,3240000,은퇴자,미혼,진보적,668000,4000,생활,"희소성, 감성",대한항공,동원 식품 68,동원,식품,4000,4.24,3968.0,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,43,5,16,3,N,0.42
male,56,7350000,대기업직원,미혼,진보적,1286000,193000,콘텐츠,"성능, 배터리",라네즈,애플 전자기기 69,애플,전자기기,193000,4.63,1561.0,"애플 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",user_input,52,5,16,0,N,0.499
female,28,780000,학생,미혼,보수적,159000,12000,소장,"희소성, 감성",3M,3M 생활용품 70,3M,생활용품,12000,,2640.0,"3M 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",image_estimate,44,2,16,4,N,0.528
female,27,860000,학생,기혼,보수적,97000,52000,유행,"희소성, 감성",삼성,CJ 식품 71,CJ,식품,52000,4.39,1091.0,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",naver_api,49,5,13,2,N,0.634
female,57,5270000,자영업,기혼,진보적,217000,157000,자기계발,"희소성, 감성",설화수,메가스터디 교육 72,메가스터디,교육,157000,,1738.0,"메가스터디 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",user_input,53,5,14,2,N,0.629
female,36,4920000,공무원,기혼,진보적,734000,68000,공부,"희소성, 감성",레노버,클래스101 교육 73,클래스101,교육,68000,3.31,468.0,"클래스101 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",naver_api,35,2,21,4,N,0.437
female,74,3110000,은퇴자,기혼,보수적,671000,54000,휴식,"가격, 신선도",CJ,CJ 식품 74,CJ,식품,54000,3.4,2048.0,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,42,2,17,4,N,0.386
male,35,5670000,프리랜서,기혼,보수적,613000,510000,휴식,"성분, 가격",애플,라네즈 화장품 75,라네즈,화장품,510000,4.4,,"라네즈 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",image_estimate,9,1,9,5,Y,0.526
male,46,3060000,주부,기혼,진보적,436000,1560000,업무,"희소성, 감성",LG,LG 전자기기 76,LG,전자기기,1560000,,,"LG 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",user_input,13,10,20,8,Y,0.638
male,49,3680000,프리랜서,기혼,진보적,604000,52000,휴식,"희소성, 감성",루이비통,종근당 건강관리 77,종근당,건강관리,52000,3.74,79.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",crawler,30,5,22,3,N,0.608
male,29,3880000,프리랜서,미혼,진보적,766000,24000,가정,"희소성, 감성",설화수,유한킴벌리 생활용품 78,유한킴벌리,생활용품,24000,4.33,,"유한킴벌리 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",manual,11,1,9,1,N,0.68
male,72,2620000,은퇴자,미혼,진보적,80000,22000,생활,"가격, 내구성",유한킴벌리,다이소 생활용품 79,다이소,생활용품,22000,4.06,876.0,"다이소 생활용품 상품. 주요 특징: 가격, 내구성, 용량, 생활, 청소, 가정.",crawler,39,4,19,0,N,0.276
male,65,6290000,자영업,기혼,보수적,230000,4000,선물,"가격, 신선도",레노버,오뚜기 식품 80,오뚜기,식품,4000,3.41,,"오뚜기 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",image_estimate,4,0,20,4,N,0.467
male,25,820000,취업준비생,미혼,보수적,45000,24000,선물,"가격, 신선도",대한항공,CJ 식품 81,CJ,식품,24000,,2407.0,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",naver_api,51,4,12,1,N,0.473
male,24,720000,학생,미혼,진보적,95000,323000,유행,"희소성, 감성",패스트캠퍼스,패스트캠퍼스 교육 82,패스트캠퍼스,교육,323000,4.44,,"패스트캠퍼스 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",naver_api,2,9,21,8,Y,0.809
female,72,3680000,은퇴자,기혼,진보적,760000,503000,건강,"성분, 후기",삼성,정관장 건강관리 83,정관장,건강관리,503000,,,"정관장 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",manual,7,4,21,2,Y,0.339
male,45,8050000,대기업직원,미혼,보수적,1328000,3392000,이사,"내구성, 크기",한샘,한샘 가구 84,한샘,가구,3392000,4.26,,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",crawler,17,10,21,3,Y,0.497
male,34,2760000,주부,기혼,진보적,361000,190000,회복,"성분, 후기",ZARA,센트룸 건강관리 85,센트룸,건강관리,190000,4.01,2173.0,"센트룸 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",crawler,54,6,20,3,N,0.518
female,75,2140000,은퇴자,기혼,보수적,260000,20000,소장,"가격, 신선도",CJ,CJ 식품 86,CJ,식품,20000,4.88,,"CJ 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",naver_api,17,0,22,1,N,0.472
male,44,3920000,프리랜서,기혼,보수적,472000,474000,기념일,"가격, 일정",유한킴벌리,하나투어 여행 87,하나투어,여행,474000,,,"하나투어 여행 상품. 주요 특징: 가격, 일정, 숙소, 휴식, 가족, 기념일.",image_estimate,7,5,13,5,N,0.572
female,28,1000000,취업준비생,미혼,진보적,194000,11000,선물,"희소성, 감성",동원,동원 식품 88,동원,식품,11000,4.06,,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,15,3,18,2,N,0.561
female,27,860000,취업준비생,미혼,보수적,186000,16000,유행,"가격, 신선도",종근당,동원 식품 89,동원,식품,16000,4.44,,"동원 식품 상품. 주요 특징: 가격, 신선도, 배송, 생활, 식사, 가족.",user_input,12,3,15,3,N,0.497
female,46,4140000,프리랜서,미혼,보수적,363000,216000,출근,"희소성, 감성",정관장,COS 패션 90,COS,패션,216000,4.86,1342.0,"COS 패션 상품. 주요 특징: 디자인, 착용감, 브랜드, 출근, 데이트, 여행.",user_input,45,4,2,1,N,0.459
male,33,7900000,대기업직원,미혼,보수적,1709000,1064000,소장,"성능, 배터리",레노버,레노버 전자기기 91,레노버,전자기기,1064000,3.5,2608.0,"레노버 전자기기 상품. 주요 특징: 성능, 배터리, 휴대성, 업무, 공부, 게임, 콘텐츠.",manual,53,3,1,1,Y,0.438
male,53,7080000,자영업,기혼,보수적,1040000,349000,취업,"희소성, 감성",클래스101,클래스101 교육 92,클래스101,교육,349000,4.08,2752.0,"클래스101 교육 상품. 주요 특징: 강의품질, 가격, 커리큘럼, 공부, 취업, 자기계발.",user_input,46,3,17,0,N,0.327
female,48,3600000,프리랜서,기혼,보수적,354000,1430000,선물,"브랜드, 희소성",리바트,구찌 명품 93,구찌,명품,1430000,3.72,369.0,"구찌 명품 상품. 주요 특징: 브랜드, 희소성, 디자인, 선물, 보상, 소장.",crawler,40,6,9,5,Y,0.584
female,25,4380000,공무원,미혼,보수적,371000,455000,휴식,"성분, 후기",종근당,종근당 건강관리 94,종근당,건강관리,455000,,905.0,"종근당 건강관리 상품. 주요 특징: 성분, 후기, 안전성, 건강, 부모님, 회복.",manual,35,3,22,1,N,0.498
male,52,5360000,프리랜서,기혼,보수적,1103000,143000,피부관리,"성분, 가격",레노버,설화수 화장품 95,설화수,화장품,143000,3.76,1525.0,"설화수 화장품 상품. 주요 특징: 성분, 가격, 후기, 피부관리, 선물, 데일리.",image_estimate,37,4,2,0,N,0.346
male,55,6090000,대기업직원,기혼,보수적,1064000,202000,인테리어,"희소성, 감성",한샘,한샘 가구 96,한샘,가구,202000,3.91,,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",user_input,9,4,17,4,N,0.398
female,36,4190000,공무원,미혼,보수적,482000,553000,생활,"내구성, 크기",종근당,한샘 가구 97,한샘,가구,553000,3.69,885.0,"한샘 가구 상품. 주요 특징: 내구성, 크기, 디자인, 이사, 인테리어, 생활.",manual,36,2,2,1,Y,0.6
