성별,나이,월수입,직업,결혼여부,소비성향,가격,가격등급,카테고리,브랜드,상품조회수,비교상품수,구매시간대,카드할부여부,재방문횟수,구매후회값
female,63,1120000,은퇴자,미혼,보수적,6768000,초고가,전자기기,삼성,44,30,11,Y,31,0.487
male,24,1280000,학생,미혼,진보적,122000,중저가,패션,나이키,20,2,15,N,1,0.19
male,23,1370000,취업준비생,미혼,보수적,635000,고가,건강관리,락토핏,32,7,13,Y,4,0.438
male,54,3230000,사무직,기혼,보수적,8077000,초고가,명품,버버리,51,17,19,Y,18,0.484
female,58,7520000,전문직,기혼,보수적,145000,중저가,화장품,설화수,21,5,16,Y,4,0.156
female,53,3780000,공무원,기혼,진보적,202000,중저가,식품,CJ,20,4,23,N,1,0.195
female,59,3400000,자영업,기혼,보수적,875000,고가,교육,시원스쿨,24,9,14,N,4,0.196
male,26,2970000,프리랜서,미혼,진보적,168000,중저가,가구,리바트,23,3,15,Y,5,0.14
male,29,5370000,대기업직원,미혼,진보적,70000,저가,패션,ZARA,12,3,15,N,3,0.097
male,34,1530000,주부,기혼,진보적,328000,고가,건강관리,센트룸,19,6,15,Y,2,0.262
female,73,1900000,은퇴자,미혼,보수적,1032000,고가,명품,구찌,36,8,0,Y,9,0.53
female,23,1490000,학생,미혼,진보적,3933000,초고가,전자기기,애플,27,17,13,Y,16,0.547
female,33,1630000,취업준비생,미혼,진보적,101000,중저가,생활용품,락앤락,16,3,22,Y,3,0.232
male,32,3880000,사무직,기혼,진보적,48000,저가,교육,메가스터디,20,3,19,N,3,0.1
male,35,9650000,전문직,미혼,보수적,268000,중저가,가구,리바트,19,6,1,N,6,0.151
male,27,4340000,공무원,기혼,보수적,260000,중저가,패션,무신사스탠다드,21,6,9,Y,4,0.149
female,33,5450000,자영업,기혼,진보적,53000,저가,식품,동원,9,2,19,N,3,0.117
female,36,3970000,프리랜서,미혼,보수적,4244000,초고가,여행,하나투어,31,13,20,Y,10,0.515
female,39,7500000,대기업직원,기혼,진보적,4501000,초고가,전자기기,LG,32,6,21,Y,7,0.477
male,44,2150000,주부,기혼,진보적,4000,초저가,생활용품,깨끗한나라,14,2,1,N,0,0.194
male,65,2680000,은퇴자,미혼,진보적,60000,저가,교육,클래스101,21,1,23,N,3,0.236
male,22,530000,학생,미혼,진보적,1029000,고가,명품,샤넬,39,12,12,Y,12,0.532
female,31,610000,취업준비생,미혼,보수적,234000,중저가,화장품,라네즈,29,6,0,N,6,0.391
female,42,5370000,사무직,기혼,보수적,803000,고가,식품,노브랜드,25,7,19,N,3,0.167
female,45,13380000,전문직,기혼,진보적,6608000,초고가,여행,하나투어,34,6,2,Y,6,0.499
male,37,5780000,공무원,미혼,보수적,121000,중저가,전자기기,삼성,30,4,19,N,5,0.101
male,43,8660000,자영업,기혼,진보적,40000,저가,패션,아디다스,13,0,20,Y,1,0.268
male,46,6080000,프리랜서,기혼,진보적,5370000,초고가,건강관리,종근당,39,9,13,Y,9,0.544
female,49,10280000,대기업직원,기혼,보수적,1646000,초고가,명품,루이비통,28,8,17,N,6,0.197
female,54,3110000,주부,기혼,진보적,630000,고가,화장품,올리브영PB,21,4,14,N,5,0.222
female,75,4150000,은퇴자,기혼,보수적,126000,중저가,식품,CJ,28,5,14,Y,2,0.091
male,21,760000,학생,미혼,진보적,31000,저가,교육,윌라,9,3,11,N,0,0.175
male,29,980000,취업준비생,미혼,보수적,111000,중저가,가구,일룸,21,6,15,N,3,0.135
male,52,6220000,사무직,기혼,보수적,155000,중저가,패션,COS,23,5,9,N,2,0.122
female,55,17790000,전문직,기혼,진보적,407000,고가,건강관리,종근당,26,3,22,Y,1,0.269
female,47,7910000,공무원,기혼,진보적,4372000,초고가,명품,구찌,44,7,13,Y,6,0.505
female,53,13120000,자영업,기혼,보수적,3341000,초고가,전자기기,소니,32,7,15,Y,8,0.287
male,24,9370000,프리랜서,미혼,진보적,8000,초저가,생활용품,유한킴벌리,5,1,17,N,0,0.192
male,27,12420000,대기업직원,미혼,진보적,30000,저가,교육,패스트캠퍼스,7,3,15,N,1,0.173
male,32,4430000,주부,기혼,진보적,399000,고가,가구,한샘,17,6,15,N,7,0.117
female,67,5620000,은퇴자,기혼,진보적,102000,중저가,패션,무신사스탠다드,24,3,13,N,1,0.158
female,20,1180000,학생,미혼,진보적,152000,중저가,식품,풀무원,19,3,12,N,2,0.152
female,27,1350000,취업준비생,미혼,보수적,4862000,초고가,여행,마이리얼트립,38,22,20,Y,20,0.545
male,30,2590000,사무직,기혼,진보적,192000,중저가,전자기기,레노버,25,3,16,N,6,0.125
male,32,4760000,전문직,기혼,진보적,10000,초저가,생활용품,유한킴벌리,10,2,15,N,2,0.093
male,57,2730000,공무원,기혼,보수적,174000,중저가,교육,클래스101,28,5,14,N,1,0.149
female,63,2350000,자영업,기혼,진보적,348000,고가,명품,프라다,20,5,20,Y,6,0.261
female,34,1730000,프리랜서,기혼,진보적,907000,고가,화장품,설화수,36,5,12,N,4,0.437
female,37,4050000,대기업직원,미혼,보수적,247000,중저가,식품,오뚜기,15,7,18,Y,2,0.109
male,42,840000,주부,기혼,진보적,384000,고가,여행,아시아나,37,5,17,N,8,0.375
male,59,1140000,은퇴자,기혼,보수적,238000,중저가,전자기기,삼성,28,3,11,N,4,0.217
male,19,1610000,학생,미혼,보수적,583000,고가,패션,나이키,43,6,20,Y,4,0.394
female,25,1590000,취업준비생,미혼,진보적,4059000,초고가,건강관리,락토핏,38,15,12,Y,12,0.536
female,40,3470000,사무직,미혼,진보적,409000,고가,명품,버버리,26,4,15,Y,7,0.25
female,42,6900000,전문직,기혼,보수적,498000,고가,화장품,설화수,34,7,10,N,2,0.146
male,31,3690000,공무원,미혼,진보적,11000,초저가,식품,CJ,4,0,16,N,3,0.175
male,37,3410000,자영업,미혼,진보적,68000,저가,교육,시원스쿨,17,3,22,N,4,0.17
male,44,3060000,프리랜서,기혼,보수적,441000,고가,가구,리바트,22,7,11,Y,5,0.234
female,47,6050000,대기업직원,미혼,진보적,1253000,고가,패션,ZARA,27,4,15,N,3,0.232
female,52,1400000,주부,기혼,보수적,6931000,초고가,건강관리,센트룸,35,28,1,Y,23,0.508
female,69,1800000,은퇴자,미혼,보수적,7000,초저가,명품,구찌,25,4,21,N,5,0.099
male,29,490000,학생,미혼,보수적,138000,중저가,전자기기,애플,30,5,9,N,7,0.249
male,23,620000,취업준비생,미혼,보수적,56000,저가,생활용품,락앤락,9,3,19,N,2,0.116
male,50,4230000,사무직,기혼,보수적,269000,중저가,교육,메가스터디,23,4,17,Y,4,0.138
female,52,10150000,전문직,미혼,진보적,561000,고가,가구,리바트,17,4,17,N,4,0.145
female,41,4440000,공무원,기혼,보수적,681000,고가,패션,무신사스탠다드,34,5,20,N,3,0.172
female,47,5290000,자영업,기혼,진보적,141000,중저가,식품,동원,12,2,15,N,4,0.107
male,54,4020000,프리랜서,기혼,보수적,123000,중저가,여행,하나투어,24,4,18,N,6,0.093
male,57,7340000,대기업직원,기혼,보수적,136000,중저가,전자기기,LG,28,4,19,N,6,0.1
male,30,2240000,주부,기혼,진보적,40000,저가,생활용품,깨끗한나라,8,1,11,N,2,0.157
female,61,2690000,은퇴자,기혼,보수적,182000,중저가,교육,클래스101,25,6,18,N,4,0.082
female,28,780000,학생,미혼,진보적,6571000,초고가,명품,샤넬,34,38,15,Y,37,0.547
female,33,900000,취업준비생,미혼,보수적,418000,고가,화장품,라네즈,30,7,17,Y,3,0.488
male,28,5140000,사무직,미혼,진보적,20000,초저가,식품,노브랜드,3,0,23,N,3,0.225
male,29,12510000,전문직,기혼,보수적,261000,중저가,여행,하나투어,29,4,13,N,4,0.13
male,51,6090000,공무원,기혼,보수적,813000,고가,전자기기,삼성,28,6,12,N,6,0.132
female,57,7680000,자영업,기혼,보수적,110000,중저가,패션,아디다스,32,4,20,N,3,0.13
female,32,6850000,프리랜서,기혼,보수적,66000,저가,건강관리,종근당,15,2,23,N,2,0.159
female,35,10440000,대기업직원,기혼,진보적,886000,고가,명품,루이비통,28,5,15,N,7,0.179
male,40,3190000,주부,기혼,진보적,39000,저가,화장품,올리브영PB,21,2,17,N,2,0.124
male,71,3670000,은퇴자,기혼,보수적,4000,초저가,식품,CJ,12,5,15,N,2,0.058
male,27,1190000,학생,미혼,진보적,143000,중저가,교육,윌라,11,2,19,N,3,0.187
female,31,1210000,취업준비생,미혼,보수적,565000,고가,가구,일룸,30,9,15,N,6,0.409
female,38,6910000,사무직,기혼,보수적,911000,고가,패션,COS,29,5,9,Y,2,0.238
female,39,15950000,전문직,미혼,진보적,6306000,초고가,건강관리,종근당,30,8,10,Y,5,0.361
male,25,7760000,공무원,미혼,진보적,2372000,초고가,명품,구찌,30,6,19,N,7,0.298
male,31,12080000,자영업,기혼,진보적,183000,중저가,전자기기,소니,24,2,11,N,5,0.119
male,42,8630000,프리랜서,기혼,진보적,60000,저가,생활용품,유한킴벌리,13,0,23,N,1,0.267
female,45,11800000,대기업직원,기혼,보수적,783000,고가,교육,패스트캠퍼스,35,6,15,N,4,0.079
female,50,4920000,주부,기혼,보수적,4094000,초고가,가구,한샘,32,9,22,Y,8,0.603
female,63,5580000,은퇴자,기혼,보수적,1202000,고가,패션,무신사스탠다드,37,7,9,Y,4,0.28
male,26,1720000,학생,미혼,진보적,6000,초저가,식품,풀무원,5,2,11,N,3,0.122
male,29,1850000,취업준비생,미혼,진보적,161000,중저가,여행,마이리얼트립,27,1,12,N,6,0.217
male,48,2840000,사무직,미혼,진보적,907000,고가,전자기기,레노버,38,6,23,N,5,0.358
female,49,5450000,전문직,기혼,진보적,47000,저가,생활용품,유한킴벌리,13,4,3,N,0,0.176
female,35,2860000,공무원,기혼,진보적,498000,고가,교육,클래스101,20,5,20,Y,2,0.256
female,41,2140000,자영업,기혼,진보적,3142000,초고가,명품,프라다,31,12,14,Y,13,0.545
male,52,1750000,프리랜서,미혼,진보적,28000,저가,화장품,설화수,18,4,13,N,1,0.132
male,55,4330000,대기업직원,미혼,보수적,6000,초저가,식품,오뚜기,12,2,14,N,0,0.153
male,60,800000,주부,기혼,보수적,789000,고가,여행,아시아나,33,11,2,Y,7,0.6
female,73,1160000,은퇴자,미혼,보수적,349000,고가,전자기기,삼성,42,5,17,Y,8,0.31
female,25,470000,학생,미혼,보수적,569000,고가,패션,나이키,35,9,23,Y,8,0.616
female,27,610000,취업준비생,미혼,보수적,55000,저가,건강관리,락토핏,20,5,2,Y,1,0.253
male,26,3290000,사무직,미혼,진보적,2549000,초고가,명품,버버리,39,8,17,Y,10,0.523
male,59,7390000,전문직,기혼,보수적,36000,저가,화장품,설화수,23,3,12,N,2,0.108
male,45,3410000,공무원,기혼,보수적,41000,저가,식품,CJ,26,5,16,N,4,0.064
female,51,3590000,자영업,기혼,진보적,214000,중저가,교육,시원스쿨,14,3,14,N,3,0.13
female,30,2820000,프리랜서,미혼,보수적,9000,초저가,가구,리바트,20,4,9,N,4,0.099
female,33,5220000,대기업직원,기혼,진보적,6940000,초고가,패션,ZARA,37,9,18,Y,10,0.519
male,38,1450000,주부,미혼,진보적,154000,중저가,건강관리,센트룸,9,2,11,N,1,0.231
male,65,1840000,은퇴자,기혼,보수적,1317000,고가,명품,구찌,46,11,9,Y,9,0.494
male,24,870000,학생,미혼,진보적,372000,고가,전자기기,애플,24,4,11,N,6,0.416
female,25,950000,취업준비생,미혼,보수적,30000,저가,생활용품,락앤락,10,6,13,N,0,0.123
female,36,4210000,사무직,미혼,보수적,1282000,고가,교육,메가스터디,30,7,17,Y,4,0.298
female,36,10230000,전문직,기혼,진보적,3188000,초고가,가구,리바트,34,6,14,N,6,0.248
male,55,4720000,공무원,미혼,보수적,49000,저가,패션,무신사스탠다드,30,6,17,N,2,0.095
male,61,5220000,자영업,미혼,보수적,17000,초저가,식품,동원,17,4,0,N,1,0.165
male,40,4450000,프리랜서,미혼,진보적,827000,고가,여행,하나투어,19,5,10,N,4,0.244
female,43,7740000,대기업직원,기혼,진보적,6285000,초고가,전자기기,LG,36,7,13,Y,7,0.506
female,48,2220000,주부,미혼,진보적,226000,중저가,생활용품,깨끗한나라,23,1,17,N,2,0.223
female,75,2440000,은퇴자,기혼,보수적,4600000,초고가,교육,클래스101,32,15,17,Y,10,0.485
male,23,1110000,학생,미혼,진보적,373000,고가,명품,샤넬,33,5,11,Y,7,0.418
male,23,1270000,취업준비생,미혼,진보적,35000,저가,화장품,라네즈,23,4,23,N,3,0.141
male,46,5340000,사무직,기혼,진보적,49000,저가,식품,노브랜드,8,0,22,Y,0,0.315
female,46,14050000,전문직,기혼,진보적,2689000,초고가,여행,하나투어,31,6,16,Y,6,0.269
female,29,6050000,공무원,미혼,보수적,3771000,초고가,전자기기,삼성,40,11,13,Y,10,0.442
female,35,7580000,자영업,미혼,보수적,646000,고가,패션,아디다스,31,8,15,N,2,0.14
male,50,6410000,프리랜서,기혼,진보적,218000,중저가,건강관리,종근당,17,3,14,N,3,0.11
male,53,10050000,대기업직원,기혼,보수적,6565000,초고가,명품,루이비통,35,9,17,Y,8,0.523
male,58,3180000,주부,기혼,진보적,221000,중저가,화장품,올리브영PB,17,4,14,Y,4,0.173
female,67,3860000,은퇴자,기혼,보수적,63000,저가,식품,CJ,19,4,9,N,0,0.111
female,22,1510000,학생,미혼,진보적,522000,고가,교육,윌라,25,5,11,Y,5,0.36
female,33,1640000,취업준비생,미혼,보수적,3000,초저가,가구,일룸,24,4,18,Y,4,0.127
male,24,6310000,사무직,미혼,진보적,36000,저가,패션,COS,17,3,1,N,0,0.234
male,56,18140000,전문직,기혼,보수적,62000,저가,건강관리,종근당,13,5,16,Y,2,0.125
male,39,6830000,공무원,미혼,보수적,3227000,초고가,명품,구찌,38,8,11,Y,7,0.401
female,45,11590000,자영업,미혼,진보적,1211000,고가,전자기기,소니,30,3,23,N,5,0.236
female,28,8980000,프리랜서,기혼,진보적,97000,중저가,생활용품,유한킴벌리,15,4,13,N,2,0.126
female,31,13540000,대기업직원,미혼,보수적,542000,고가,교육,패스트캠퍼스,28,5,11,N,4,0.112
male,36,4630000,주부,미혼,진보적,262000,중저가,가구,한샘,11,3,14,N,4,0.157
male,59,5710000,은퇴자,기혼,보수적,82000,저가,패션,무신사스탠다드,31,3,13,N,2,0.131
male,21,520000,학생,미혼,보수적,60000,저가,식품,풀무원,11,5,10,N,2,0.119
female,31,610000,취업준비생,기혼,진보적,466000,고가,여행,마이리얼트립,28,9,10,Y,6,0.586
female,34,2770000,사무직,미혼,보수적,3517000,초고가,전자기기,레노버,39,13,22,Y,13,0.549
female,33,4920000,전문직,기혼,보수적,138000,중저가,생활용품,유한킴벌리,12,6,3,N,3,0.139
male,49,2770000,공무원,기혼,진보적,234000,중저가,교육,클래스101,27,2,11,N,3,0.135
male,55,2320000,자영업,기혼,보수적,515000,고가,명품,프라다,37,8,22,Y,8,0.346
male,38,1790000,프리랜서,미혼,보수적,101000,중저가,화장품,설화수,29,4,15,N,2,0.105
female,41,4050000,대기업직원,기혼,진보적,38000,저가,식품,오뚜기,16,1,16,N,0,0.211
female,46,810000,주부,기혼,보수적,3061000,초고가,여행,아시아나,46,22,10,Y,20,0.481
female,69,1210000,은퇴자,기혼,보수적,2222000,초고가,전자기기,삼성,41,13,14,Y,13,0.467
male,20,880000,학생,미혼,진보적,33000,저가,패션,나이키,21,3,19,N,0,0.144
male,29,920000,취업준비생,기혼,진보적,134000,중저가,건강관리,락토핏,18,2,21,N,3,0.217
male,44,3290000,사무직,기혼,진보적,741000,고가,명품,버버리,22,5,11,N,7,0.267
female,43,7230000,전문직,기혼,진보적,197000,중저가,화장품,설화수,26,4,23,N,4,0.151
female,59,3930000,공무원,기혼,보수적,239000,중저가,식품,CJ,13,3,13,N,3,0.088
female,65,3070000,자영업,기혼,진보적,426000,고가,교육,시원스쿨,31,6,21,Y,5,0.175
male,48,2890000,프리랜서,기혼,진보적,201000,중저가,가구,리바트,28,3,16,N,5,0.1
male,51,5200000,대기업직원,기혼,보수적,63000,저가,패션,ZARA,31,2,19,N,2,0.121
male,56,1490000,주부,기혼,진보적,177000,중저가,건강관리,센트룸,23,4,14,N,4,0.158
female,61,1960000,은퇴자,기혼,보수적,6384000,초고가,명품,구찌,41,20,9,Y,18,0.534
female,19,1170000,학생,미혼,진보적,7304000,초고가,전자기기,애플,40,30,15,Y,30,0.56
female,27,1250000,취업준비생,미혼,보수적,383000,고가,생활용품,락앤락,31,6,17,Y,4,0.313
male,54,4480000,사무직,미혼,보수적,42000,저가,교육,메가스터디,24,3,1,N,4,0.143
male,53,8940000,전문직,미혼,보수적,1122000,고가,가구,리바트,23,5,20,N,7,0.169
male,33,4950000,공무원,기혼,보수적,179000,중저가,패션,무신사스탠다드,20,6,18,N,1,0.136
female,39,5230000,자영업,기혼,진보적,143000,중저가,식품,동원,18,3,11,N,1,0.152
female,26,4170000,프리랜서,미혼,진보적,2031000,초고가,여행,하나투어,38,7,18,N,8,0.431
female,29,7600000,대기업직원,기혼,보수적,6000,초저가,전자기기,LG,17,2,18,N,4,0.109
male,34,2200000,주부,기혼,보수적,5000,초저가,생활용품,깨끗한나라,22,5,13,N,0,0.127
male,71,2740000,은퇴자,기혼,보수적,32000,저가,교육,클래스101,15,4,9,N,4,0.073
male,29,1710000,학생,미혼,진보적,5126000,초고가,명품,샤넬,44,18,10,Y,16,0.588
female,25,1820000,취업준비생,미혼,보수적,127000,중저가,화장품,라네즈,21,4,18,N,5,0.108
female,32,5100000,사무직,미혼,진보적,353000,고가,식품,노브랜드,26,2,19,N,2,0.17
female,30,12710000,전문직,미혼,보수적,3855000,초고가,여행,하나투어,32,8,14,Y,6,0.327
male,43,5410000,공무원,기혼,보수적,209000,중저가,전자기기,삼성,22,3,11,N,3,0.137
male,49,8450000,자영업,기혼,진보적,42000,저가,패션,아디다스,15,3,11,N,2,0.122
male,36,6810000,프리랜서,미혼,보수적,470000,고가,건강관리,종근당,15,8,22,N,2,0.162
female,39,9820000,대기업직원,기혼,보수적,695000,고가,명품,루이비통,25,8,12,N,6,0.151
female,44,3000000,주부,기혼,보수적,804000,고가,화장품,올리브영PB,28,5,20,N,3,0.276
female,63,3590000,은퇴자,미혼,보수적,180000,중저가,식품,CJ,24,3,23,Y,4,0.211
male,28,540000,학생,미혼,보수적,32000,저가,교육,윌라,25,2,10,N,4,0.119
male,23,640000,취업준비생,미혼,보수적,188000,중저가,가구,일룸,13,4,13,Y,4,0.324
male,42,6790000,사무직,기혼,진보적,151000,중저가,패션,COS,15,1,11,N,4,0.162
female,40,15910000,전문직,기혼,진보적,255000,중저가,건강관리,종근당,18,1,20,N,4,0.155
female,53,7130000,공무원,기혼,보수적,444000,고가,명품,구찌,32,6,15,Y,5,0.206
female,59,13020000,자영업,기혼,보수적,8162000,초고가,전자기기,소니,38,8,16,Y,6,0.561
male,46,9230000,프리랜서,기혼,진보적,14000,초저가,생활용품,유한킴벌리,8,3,13,N,0,0.134
male,49,13180000,대기업직원,기혼,진보적,68000,저가,교육,패스트캠퍼스,20,1,21,Y,0,0.276
male,54,4390000,주부,기혼,진보적,801000,고가,가구,한샘,31,5,13,Y,6,0.215
female,73,4870000,은퇴자,기혼,보수적,271000,중저가,패션,무신사스탠다드,34,3,15,N,4,0.124
female,27,790000,학생,미혼,진보적,106000,중저가,식품,풀무원,22,2,22,N,2,0.224
female,33,980000,취업준비생,기혼,진보적,3731000,초고가,여행,마이리얼트립,29,20,20,Y,22,0.575
male,52,2550000,사무직,미혼,보수적,152000,중저가,전자기기,레노버,18,6,15,N,5,0.101
male,50,5120000,전문직,기혼,보수적,9000,초저가,생활용품,유한킴벌리,22,3,20,N,0,0.124
male,27,2920000,공무원,미혼,진보적,119000,중저가,교육,클래스101,22,1,15,N,1,0.216
female,33,2110000,자영업,기혼,진보적,3168000,초고가,명품,프라다,43,12,21,Y,10,0.563
female,24,1710000,프리랜서,미혼,진보적,1165000,고가,화장품,설화수,23,7,17,Y,8,0.542
female,27,4540000,대기업직원,기혼,보수적,125000,중저가,식품,오뚜기,13,5,15,N,1,0.119
male,32,780000,주부,기혼,진보적,97000,중저가,여행,아시아나,25,2,23,Y,4,0.284
male,65,1240000,은퇴자,기혼,보수적,109000,중저가,전자기기,삼성,31,5,14,N,4,0.103
male,26,1120000,학생,미혼,보수적,157000,중저가,패션,나이키,25,7,9,N,5,0.143
female,31,1220000,취업준비생,미혼,보수적,1207000,고가,건강관리,락토핏,34,9,22,Y,6,0.614
female,30,3050000,사무직,미혼,보수적,2328000,초고가,명품,버버리,38,11,20,Y,9,0.499
female,60,7350000,전문직,미혼,진보적,795000,고가,화장품,설화수,28,4,14,N,2,0.191
male,37,3790000,공무원,미혼,보수적,13000,초저가,식품,CJ,22,2,14,N,3,0.048
male,43,3290000,자영업,기혼,보수적,28000,저가,교육,시원스쿨,26,2,23,N,1,0.186
male,34,2590000,프리랜서,기혼,진보적,941000,고가,가구,리바트,35,5,23,Y,7,0.406
female,37,5760000,대기업직원,기혼,보수적,222000,중저가,패션,ZARA,19,4,23,N,3,0.155
female,42,1310000,주부,기혼,보수적,1162000,고가,건강관리,센트룸,37,8,12,Y,7,0.477
female,75,1800000,은퇴자,기혼,보수적,640000,고가,명품,구찌,45,7,14,Y,6,0.379
male,25,1640000,학생,미혼,진보적,118000,중저가,전자기기,애플,13,4,11,N,6,0.109
male,29,1600000,취업준비생,미혼,진보적,5000,초저가,생활용품,락앤락,11,0,15,N,3,0.163
male,40,3910000,사무직,기혼,진보적,99000,중저가,교육,메가스터디,10,4,13,N,2,0.129
female,37,10120000,전문직,미혼,보수적,1016000,고가,가구,리바트,27,4,11,N,3,0.168
